userid	followers	friends/followees	posts	u_t	u_f	features	casnames							
39357	186	0	9393	55	0	('clickbroke', '', False)	[]							
41645179	2775	3057	27034	39	0	()	[]							
51828921	23	18	52	7	0	('webosfrance', 'Palm Pre, Palm Eos et Palm webOS', False)	[]							
1688	227	0	3135	17	1	('olouvRss', '', False)	['R_Ipod64.txt']							
41625921	672	280	8200	3	45	()	['R_swineZombie.txt', 'R_SwinePork.txt']							
904660	9140	340	1623	75	0	('abdur', 'Now: @aura_frames, @altavistaschool, Past: Chief Scientist @Twitter, co-founder @Summize, Chief Architect @AOL', False)	[]							
55640892	65	1043	11	9	0	('Pongsakpat', '', False)	[]							
45357704	514	470	3408	21	308	('Terrypooch', 'FIGHTING FOR LIFE LIBERTY AND JUSTICE FOR ALL', False)	['R_obamaNaturalBorn.txt']							
117511	1	0	32	0	9	('08kx250f', '', False)	['R_Xbox720.txt']							
31745148	25757	26911	24577	53	0	()	[]							
49130864	242	1892	4504	0	12	()	['R_onionIpod.txt']							
46283660	9	233	23929	14	0	()	[]							
31441663	47	79	1116	7	0	()	[]							
46161420	3	20	27967	15	0	()	[]							
54595164	5	20	774	7	0	()	[]							
39025741	101	20	2669	8	0	('movie_reviews77', '', False)	[]							
16983873	11	11	886	0	14	('OnlyOneBakeBake', '', False)	['R_obamaNaturalBorn.txt', 'R_obamaanti.txt']							
10045	220	0	11352	17	2	('en2tw', '', False)	['R_IphoneOLED.txt', 'R_steorn.txt']							
51489852	126	241	10385	0	11	('justonlinemovie', '', False)	['R_LadyGaga.txt']							
53382638	193	61	2894	73	0	()	[]							
19771216	635	645	1098	7	0	('RightWingWatch', 'A project of People For the American Way that monitors and exposes the activities of Radical Right political organizations.', True)	[]							
18987	88	3	590	16	0	('profamilynews', 'Pro-Family press releases from Christian Newswire', False)	[]							
85853	162	6	1875	0	55	('notbbc', '', False)	['R_LadyGaga.txt']							
39003758	442	717	181	0	130	('montauk_monster', 'Montauk Monster - The Truth, The Legend, The Mystery', False)	['R_Montauk.txt']							
26101679	22252	23853	4621	8	0	('OnlyMobileNews', 'We follow the latest in mobile technology news', False)	[]							
54795103	151	1993	36	7	0	('P_Johnson1708', '', False)	[]							
