userid	u_t	u_f
182741872	12	12
2388958777	16	0
2580423060	23	11
3438202888	11	13
169954894	20	3
1957558952	1	19
64722130	28	0
3212620271	15	12
200435698	19	15
582852483	23	7
1389882727	24	2
2416484101	18	2
15521321	189	0
3107909896	29	2
1473389984	7	16
3034853732	17	4
540417242	7	13
335461141	34	9
1611858558	37	11
125128428	13	17
1280124271	41	12
834953227	27	7
248774714	15	1
2886612620	11	14
52865869	15	4
49249409	9	8
166206898	15	18
15359014	11	6
149981362	24	1
2799603473	40	4
1443132836	7	11
922576634	21	4
340789196	14	3
138224000	26	1
269334836	12	5
3212596827	15	12
1358201918	12	5
321659355	23	7
17703035	62	15
123078358	20	32
174102086	21	4
3312233855	17	3
631625137	17	7
3272415836	25	2
134240162	8	8
765763200	19	4
2203400720	7	9
973546771	17	4
724292641	7	10
25236548	0	134
104403350	24	17
91609427	8	10
267080200	22	1
253633235	37	11
947703439	16	6
36539277	17	1
1258761552	8	16
588945219	43	9
1229771844	19	4
605487886	51	7
90497896	22	2
3081433067	20	5
365214457	2	23
15024705	25	0
47332651	16	3
622632971	17	3
151579111	17	5
499073057	13	4
930575720	17	9
576358484	29	9
2376460524	18	1
2338792994	51	14
996430604	17	1
2886787275	16	1
127464003	30	0
72882689	77	26
2493044713	23	8
486835275	17	4
3177696986	15	12
323515127	19	8
973526730	17	4
2591942665	39	2
1703530184	17	4
18085871	25	4
17882093	20	6
2904322704	17	6
559437083	11	8
3044646683	40	13
21729540	15	5
1258148130	18	7
2942634366	16	5
1073562656	13	5
57388012	16	12
435625148	27	1
3349946379	9	8
366974308	20	6
77357964	24	9
900732667	21	4
505294099	16	2
118024534	19	4
