userid	followers	friends/followees	posts	u_t	u_f	features
41645179	2775	3057	27034	39	0	()
51828921	23	18	52	7	0	('webosfrance', 'Palm Pre, Palm Eos et Palm webOS', False)
53471447	339	496	1093	7	0	()
46161420	3	20	27967	15	0	()
54888609	974	1512	1787	8	0	()
31745148	25757	26911	24577	53	0	()
31441663	47	79	1116	7	0	()
117511	1	0	32	0	9	('08kx250f', '', False)
904660	9140	340	1623	75	0	('abdur', 'Now: @aura_frames, @altavistaschool, Past: Chief Scientist @Twitter, co-founder @Summize, Chief Architect @AOL', False)
18987	88	3	590	16	0	('profamilynews', 'Pro-Family press releases from Christian Newswire', False)
15446395	808	18	39216	8	2	('gossip_guy', "Have a celebrity sighting in NYC you'd like to share? Tweet @gossip_guy.", False)
44282988	1570	1668	3784	22	0	('GamingChannel', 'The number one source for the latest happenings in the gaming world all via twitter.', False)
53382638	193	61	2894	73	0	()
51489852	126	241	10385	0	11	('justonlinemovie', '', False)
48439353	262	36	2949	24	0	('FreedomF8er', '', False)
1709	217	0	15087	24	1	('speednews25', '', False)
85853	162	6	1875	0	55	('notbbc', '', False)
26206026	862	154	425	11	0	('evgenyy', "I invest in tech that makes people's lives better ‰Û¢ CEO @ClauseMatch | @techstars alumni | @Level39CW Member | #Startups #FinTech #RegTech #LegalTech |", False)
25532591	165	7	9747	17	2	('Nodody111111111', '', False)
54425344	11519	904	9981	0	7	('mgsiegler', 'General Partner @GVteam. I write @500ish & @reviewinhaiku. On the road w/ @msquinn _ÙÔ©_ÙÈ & @maisiesiegler _ÙÔ¦_ÙÈ #GoBlue ‹Û_•ü_ÙÈ', True)
45062504	2684	2941	2144	216	0	('_PSPGuru', 'Sending you constant news about the latest PSP news.', False)
17512677	72	6	3359	0	16	('politicoman', 'Just another political junkie.', False)
39003758	442	717	181	0	130	('montauk_monster', 'Montauk Monster - The Truth, The Legend, The Mystery', False)
31665361	83	141	544	11	0	('lizemitt', "Momma, writer, Succubus and thats just the labels I've been given I can say in public", False)
31749799	3085	3097	3892	1	6	('DKMatai', "_ÙàÂ_Ùà¤_Ùà¼_Ùàü_Ùà¬_Ùà_Queen's Award winning Innovator, Entrepreneur+Investor. QBRAIN: Quantum-Blockchain-Robo-AI-Nano QiLabs #FinTech #InsTech mi2g ATCA5000 Philanthropia", False)
1217410	3990	3775	3669	6	1	('gculliss', 'Founder of DirectHit, SoundBite and other cool stuff.', False)
2447156	817	566	1685	0	7	('MacUserBoricua', 'Noticias y Rumores - Apple, Mac, iPod, iPhone, iPad', False)
19771216	635	645	1098	7	0	('RightWingWatch', 'A project of People For the American Way that monitors and exposes the activities of Radical Right political organizations.', True)
31572449	1748	2052	3281	0	7	('YourDNAknows', 'My Mission is to Bring DNA Guided Nutrition to the World.', False)
15191995	621	8	2753	4	3	('techweb', 'The Global Leader In Business Technology Media', False)
2187715	1128	1871	269	7	0	('thedeb', 'think, eat, write, sleep.', False)
53272550	409	1210	3912	24	0	('bountyofbeads2', 'If we cannot now end our differences, at least we can help make the world safe for diversity. \nJohh F Kennedy, TAKE A STAND AGAINST RACISM & HATE', False)
48455831	257	28	3177	33	0	('GreenTears', 'A FREEDOM lover.', False)
20155	501	0	53940	9	1	('feedzzz', '', False)
16757978	1118	142	3191	11	0	('FOX10News', 'TV news station, serving the Alabama and Florida Gulf Coast areas.', True)
12919420	58	3	148	2	4	('OnlinerUA', '', False)
47110694	26	20	24186	11	0	()
44083204	9	237	35983	11	0	()
