userid	u_t	u_f
339429052	17	7
15613203	15	1
980941849	14	5
210778303	22	8
280122911	19	3
386275837	24	10
1662872534	13	18
3044768385	15	2
32658668	16	2
546744362	19	15
1624306176	17	2
2203759645	7	9
2385911990	14	3
223432445	19	0
2975722854	16	19
3213005087	23	23
46483345	18	7
1383135966	28	0
17115595	0	132
73690963	23	0
1652772608	39	4
1036461709	32	3
544380588	20	1
247599114	20	16
2408397397	17	7
603440278	19	15
3110930003	17	0
384942394	7	9
1424642856	14	4
2388970874	16	0
2388915241	16	0
76908897	33	9
374578350	17	1
172106013	72	1
427253416	13	4
1160935351	16	3
20850076	18	9
30569506	27	0
2538790446	21	6
1938037314	19	1
22225065	16	7
1121790673	22	7
370269230	13	9
1484946193	18	15
315577705	8	9
308174015	13	6
385394323	25	0
3293377954	21	1
1979279791	17	7
3318477709	16	9
2877872245	26	4
1582545024	27	3
243351447	16	13
1526305728	17	7
3177614538	15	3
1253082505	19	15
444898632	17	6
52865869	15	4
248774714	15	1
1592407585	19	0
3177760471	18	14
186043413	12	6
257517997	4	15
456328773	18	7
3177720054	15	14
243264343	26	6
190222885	22	5
1181597546	10	6
3044646683	40	13
2203738322	7	9
3040474978	16	12
196264273	17	0
975829939	28	4
2215526899	0	16
43600056	7	9
1736506310	28	8
626391901	13	6
529622870	33	10
2203707510	7	9
31147225	20	0
325327587	16	1
717582870	15	2
1572958224	20	1
1557035341	8	14
163364458	15	3
2952724430	132	0
1177641950	24	1
32497478	15	7
559799896	136	32
2773297820	11	35
507877806	51	41
17285050	89	0
2615420165	7	9
51210644	8	8
138221035	26	1
603540902	51	7
2956463164	30	1
2209207302	0	52
2362308738	17	1
3212854007	15	12
